"Číslo projektu","Soutěž","Komise","Uchazeč","Fakulta","Klíčová slova","Trvání","Název"
"20-01982J","Mezinárodní projekty – 2020","Oborová komise věd o neživé přírodě","Ústav fyzikální chemie J. Heyrovského AV ČR, v.v.i.",,"záchyt elektronů;záporný iont;doba života;halogenderiváty",3,"Záporné ionty s dlouhou dobou života a jejich podstata"
"20-01995S","Standardní projekty – 2020","Oborová komise technických věd","Západočeská univerzita v Plzni","Fakulta elektrotechnická","vnitřní elektrické pole;prostorový náboj;polarizace;dielektrická spektroskopie;elektrické zkoušky;částečný výboj;komplexní permitivita",3,"Vliv vnitřní struktury nanokompozitu na celkové dielektrické vlastnosti"
"20-02014S","Standardní projekty – 2020","Oborová komise věd o neživé přírodě","Geologický ústav AV ČR, v.v.i.",,"laboratorní hydraulické štěpení;cyklická injektáž;zóna porušení;nárůst propustnosti;akustická emise;smykově-tenzní trhlina;relativní momentový tenzor",3,"Laboratorní zemětřesení při injektáži tekutin do granitů: seismicita při spojitém a cyklickém režimu"
"20-02051S","Standardní projekty – 2020","Oborová komise lékařských a biologických věd","Univerzita Karlova","1. lékařská fakulta","nádorové kmenové buňky;karcinom plic;Hedgehog; GLI; epigenetika",3,"Eradikace nádorových kmenových buněk karcinomu plic a molekulární cíle možné léčby v epigenetické a signální regulaci růstu těchto buněk"
"20-02079S","Standardní projekty – 2020","Oborová komise zemědělských a biologicko - environmentálních věd","Ústav experimentální botaniky AV ČR, v.v.i.",,"Arabidopsis thaliana;Oryza sativa;iontová homeostáza;fosfolipasa D;fosfolipidová signalizace;hořčík;kyselina fosfatidová;",3,"Úloha fosfolipidové signalizace v iontové homeostázi: Případová studie hořčík"
"20-02080J","Mezinárodní projekty – 2020","Oborová komise technických věd","Vysoká škola ekonomická v Praze","Fakulta informatiky a statistiky","strojové učení;znalostní grafy;zaujetí;umělá inteligence",3,"Porozumění, zpracování a využití zaujetí ve znalostních grafech (BiasKG)"
"20-02108S","Standardní projekty – 2020","Oborová komise společenských a humanitních věd","Ostravská univerzita","Pedagogická fakulta","Rakouské Slezsko; hudebnost; kantor; základní školství; spolky",3,"Hudebnost kantorů z rakouského / českého Slezska v 18. a 19. století"
"20-02112S","Standardní projekty – 2020","Oborová komise věd o neživé přírodě","Ústav informatiky AV ČR, v.v.i.",,"aktivní učení;kontext; apriorní znalost; bayesovská statistika;ontologie; teorie grafů",3,"Aktivní učení přihlížející ke kontextu"
"20-02131S","Standardní projekty – 2020","Oborová komise společenských a humanitních věd","Masarykova univerzita","Filozofická fakulta","Smlouvy;  malířství; Čechy; Morava; Slezsko; baroko; umělecký mecenát;sociální dějiny umění",3,"Malování pro peníze. Malíři, objednavatelé a smlouvy na malířské práce v Čechách, na Moravě a ve Slezsku v období baroka."
"20-02149J","Mezinárodní projekty – 2020","Oborová komise zemědělských a biologicko - environmentálních věd","Ústav výzkumu globální změny AV ČR, v. v. i.",,"Dálkový průzkum;letecká spektroskopie;satelitní spektroskopie;indikátory stavu lesa;modelovaní v čase;multikriteriální analýza;komplex modelů;",3,"Metodologický základ a systém hodnocení udržitelnosti lesních ekosystémů pomocí dat dálkového průzkumu a komplexního modelování"
"20-02165S","Standardní projekty – 2020","Oborová komise zemědělských a biologicko - environmentálních věd","Biologické centrum AV ČR, v.v.i.",,"střevní-mikrobiom; symbionti; prvoci; bakteriální-mikrobiota; člověk; pes; urbánní-rurální populace; tradiční-rurální populace; westernizace;",3,"Výhodné soužití: spletitost a interakce střevního mikrobiomu domestikovaných psů a jejich majitelů při přechodu k modernímu životnímu stylu"
"20-02177J","Mezinárodní projekty – 2020","Oborová komise věd o neživé přírodě","Ústav makromolekulární chemie AV ČR, v.v.i.",,"Nanočástice; magnetický; kyselina gallová; antioxidant; biorozhraní; oxidační stres",3,"Antioxidační magnetické nanočástice modifikované fenolickými sloučeninami pro léčení nemocí spojených s oxidačním stresem: Studie nano-biorozhraní"
"20-02196J","Mezinárodní projekty – 2020","Oborová komise věd o neživé přírodě","Astronomický ústav AV ČR, v.v.i.",,"hvězdy;modří veleobři;žlutí hyperobři;hvězdné větry;hvězdné pulsace;modely atmosfér",3,"Pulsace a větry v masivních veleobrech"
"20-02219S","Standardní projekty – 2020","Oborová komise technických věd","Vysoká škola báňská - Technická univerzita Ostrava","Fakulta stavební","samovyhojování; samoošetřování; vysokohodnotný beton; recyklované kamenivo; únava",3,"Samovyhojování samoošetřovaného betonu prostřednictvím nasáklého recyklovaného kameniva"
"20-02235S","Standardní projekty – 2020","Oborová komise lékařských a biologických věd","Mikrobiologický ústav AV ČR, v.v.i.",,"nanodiamant; nanočástice; interakce; adheze",3,"Interakce nanodiamantů s biologickým rozhraním vzhledem k jejich použití jako nosičů nukleových kyselin"
"20-02242S","Standardní projekty – 2020","Oborová komise společenských a humanitních věd","Anglo-americká vysoká škola, z.ú.",,"Sekuritizace;změna režimu;Korea;politika “bjungdžin”;ekonomická bezpečnost;semi-autoritářské režimy;metaanalýza",3,"Sekuritizace a změna režimu na Korejském poloostrově: multidisciplinární komparativní metaanalýza"
"20-02261S","Standardní projekty – 2020","Oborová komise lékařských a biologických věd","Ústav organické chemie a biochemie AV ČR, v.v.i.",,"proteáza;proteolýza;katepsin;inhibitor;inhibiční mechanismus;navrhování inhibitorů;interakce
proteinů;proteinová krystalografie;3D struktura;patologické procesy",3,"Nové biomimetické inhibitory cílené na významné proteolytické enzymy"
"20-02274S","Standardní projekty – 2020","Oborová komise společenských a humanitních věd","Jihočeská univerzita v Českých Budějovicích","Ekonomická fakulta","příjmová mobilita;příjmy domácností;trvalá chudoba",3,"Faktory vysvětlující mobilitu příjmů domácností ve střední a východní Evropě"
"20-02290S","Standardní projekty – 2020","Oborová komise věd o neživé přírodě","Univerzita Karlova","Matematicko-fyzikální fakulta","Banachův prostor;míra slabé nekompaktnosti;stejnoměrný homeomorfismus;lipschitzovské zobrazení;hladké aproximace;integrální reprezentace;proximinální podprostor;kompaktní prostor;spektrum;C*-algebra;stavový prostor",3,"Topologické a geometrické vlastnosti Banachových prostorů a operátorových algeber III"
"20-02300S","Standardní projekty – 2020","Oborová komise věd o neživé přírodě","Masarykova univerzita","Přírodovědecká fakulta","horké hvězdy;hmotné hvězdy;hvězdné atmosféry;hvězdné větry;pokrývkový jev;okolohvězdné prostředí;hvězdný vývoj;magnetické pole",3,"Multispektrální proměnnost horkých hvězd v důsledku pokrývkového jevu"
"20-02316S","Standardní projekty – 2020","Oborová komise společenských a humanitních věd","Vysoká škola ekonomická v Praze","Fakulta financí a účetnictví","Dynamický; model IO; Endogenní; ekonomický; růst; Obnovitelné; zdroje; Analýza; Odhad; Experimenty;",3,"Endogenní ekonomický růst v dynamickém modelu IO s obnovitelnými zdroji: analýza, odhad, experimenty"
"20-02337S","Standardní projekty – 2020","Oborová komise věd o neživé přírodě","Univerzita Karlova","Přírodovědecká fakulta","kopolymery;oligomery;funkční skupiny;interakční chromatografie;Monte Carlo;mikroporézní prostředí;disipativní částicová dynamika;",3,"Role specifických interakcí v chromatografické analýze nestabilních látek. Experimentální studium podporované počítačovým modelováním."
"20-02344S","Standardní projekty – 2020","Oborová komise zemědělských a biologicko - environmentálních věd","Univerzita Palackého v Olomouci","Přírodovědecká fakulta","akční potenciál;elektrické signály;fotomorfogenéza;chlorofyl;jasmonáty",3,"Anestezie v rostlinách: signalizace a odpovědi"
"20-02359S","Standardní projekty – 2020","Oborová komise lékařských a biologických věd","Univerzita Palackého v Olomouci","Lékařská fakulta","heliceny;cytotoxicita;receptor pro aromatické uhlovodíky;cytochrom P450 1A1;metabolismus in vitro;",3,"Heliceny: metabolismus a biologická activita"
"20-02363S","Standardní projekty – 2020","Oborová komise lékařských a biologických věd","Fyziologický ústav AV ČR, v.v.i.",,"kmenové buňky Whartonova rosolu;diferenciace;cévní;endotel;hladký sval;tkáňové inženýrství",3,"Diferenciace mezenchymálních kmenových buněk Whartonova rosolu směrem k cévním buňkám: nová koncepce tkáňového inženýrství cév"
"20-02371S","Standardní projekty – 2020","Oborová komise lékařských a biologických věd","Výzkumný ústav veterinárního lékařství, v.v.i.",,"microbiom;tlusté střevo;plíce;nádory;zánět;Klebsiella pneumoniae;celogenomová sekvenace;poškození DNA;buněčný cyklus",3,"Vliv kolonizace Klebsiella pneumoniae na rozvoj zánětu a karcinogeneze buněk tlustého střeva a respiračního traktu"
"20-02385S","Standardní projekty – 2020","Oborová komise lékařských a biologických věd","Fyziologický ústav AV ČR, v.v.i.",,"kvasinky;Candida;mnohačetná léková rezistence;transportéry antimykotik;nanočástice",3,"Rezistence patogenních kvasinek rodu Candida vůči antimykotikům a dalším stresovým faktorům"
"20-02407S","Standardní projekty – 2020","Oborová komise lékařských a biologických věd","Ústav molekulární genetiky AV ČR, v.v.i.",,"Fosfoinozitidy;RNA polymeráza II;Jaderná architektura;",3,"Charakterizace funkce jaderných lipidových ostrůvků a jejich význam při regulaci transkripce RNA polymerázou II."
"20-02411J","Mezinárodní projekty – 2020","Oborová komise věd o neživé přírodě","Ústav fyziky atmosféry AV ČR, v. v. i.",,"putující ionosférické poruchy;magnetické bouře;kosmické počasí;fyzika ionosféry;",3,"Zkoumání putujících ionosférických poruch vyvolaných bouřemi souvisejícími s ko-rotačními interakčními oblastmi a rychlým slunečním větrem"
"20-02430S","Standardní projekty – 2020","Oborová komise věd o neživé přírodě","Ostravská univerzita","Přírodovědecká fakulta","distribuce posloupností;aritmetické hustoty;radixová reprezentace;Sturmovské slova;stromové množiny;lineární rekurzivní posloupnosti;Diofantické aproximace;periodické kvantové systémy;simultánní aproximace",3,"Číselné a symbolické posloupnosti a jejich aplikace"
"20-02448Y","Juniorské projekty – 2020","Oborová komise věd o neživé přírodě","Slezská univerzita v Opavě","Matematický ústav v Opavě","Diskrétni dynamické systémy;entropie;invariantní míry;zobrazení s konstatním sklonem;dendrity;chaotické chování",3,"CHAOS A ERGODICKÁ TEORIE PRO PO-ČÁSTECH INVERTIBILNÍ DYNAMICKÉ SYSTÉMY"
"20-02453S","Standardní projekty – 2020","Oborová komise společenských a humanitních věd","Masarykova univerzita","Filozofická fakulta","analýza diskurzu;pragmatika;konverzační analýza;mluvená média;televizní diskurz",3,"Jazyk, stylizace a autenticita v televizním vysílání"
"20-02469S","Standardní projekty – 2020","Oborová komise společenských a humanitních věd","Filosofický ústav AV ČR, v.v.i.",,"Česká státnost;geopolitika;dějiny;filosofie;filosofie dějin;politika",3,"Česká státnost, její smysl a geopolitika"
"20-02476S","Standardní projekty – 2020","Oborová komise lékařských a biologických věd","Ústav molekulární genetiky AV ČR, v.v.i.",,"jádro; TPR; differenciace; kostní buňka; svalová buňka;",3,"Charakterizace úlohy TPR během diferenciace svalových a kostních buněk s cílem určit jeho genově-regulační funkci."
